iteration,scenario,networkFullCount,networkFullDurationMs
1,plainTextFirstOpen,1,287.0
2,plainTextFirstOpen,1,299.0
3,plainTextFirstOpen,1,308.0
4,plainTextFirstOpen,1,314.0
5,plainTextFirstOpen,1,302.0
6,plainTextFirstOpen,1,317.0
7,plainTextFirstOpen,1,326.0
8,plainTextFirstOpen,1,332.0
9,plainTextFirstOpen,1,341.0
10,plainTextFirstOpen,1,350.0
1,plainTextReopenWarmProcess,1,262.0
2,plainTextReopenWarmProcess,1,274.0
3,plainTextReopenWarmProcess,1,283.0
4,plainTextReopenWarmProcess,1,289.0
5,plainTextReopenWarmProcess,1,277.0
6,plainTextReopenWarmProcess,1,292.0
7,plainTextReopenWarmProcess,1,301.0
8,plainTextReopenWarmProcess,1,307.0
9,plainTextReopenWarmProcess,1,316.0
10,plainTextReopenWarmProcess,1,325.0
1,plainTextReopenColdProcess,1,307.0
2,plainTextReopenColdProcess,1,319.0
3,plainTextReopenColdProcess,1,328.0
4,plainTextReopenColdProcess,1,334.0
5,plainTextReopenColdProcess,1,322.0
6,plainTextReopenColdProcess,1,337.0
7,plainTextReopenColdProcess,1,346.0
8,plainTextReopenColdProcess,1,352.0
9,plainTextReopenColdProcess,1,361.0
10,plainTextReopenColdProcess,1,370.0
