iteration,scenario,mailKey,totalMs,resolveMs,bodyFetchMs,htmlBuildMs,webViewVisualMs,networkFullCount,networkFullDurationMs
1,plainTextFirstOpen,e004,506.0,12.0,302.0,20.0,172.0,1,287.0
2,plainTextFirstOpen,e005,528.0,14.0,314.0,23.0,177.0,1,299.0
3,plainTextFirstOpen,e006,544.0,15.0,323.0,25.0,181.0,1,308.0
4,plainTextFirstOpen,e007,555.0,16.0,329.0,27.0,183.0,1,314.0
5,plainTextFirstOpen,e008,533.0,14.0,317.0,24.0,178.0,1,302.0
6,plainTextFirstOpen,e009,562.0,17.0,332.0,28.0,185.0,1,317.0
7,plainTextFirstOpen,e00a,577.0,18.0,341.0,30.0,188.0,1,326.0
8,plainTextFirstOpen,e00b,588.0,19.0,347.0,31.0,191.0,1,332.0
9,plainTextFirstOpen,e00c,606.0,21.0,356.0,34.0,195.0,1,341.0
10,plainTextFirstOpen,e00d,621.0,22.0,365.0,36.0,198.0,1,350.0
1,plainTextReopenWarmProcess,e004,461.0,12.0,277.0,20.0,152.0,1,262.0
2,plainTextReopenWarmProcess,e005,483.0,14.0,289.0,23.0,157.0,1,274.0
3,plainTextReopenWarmProcess,e006,499.0,15.0,298.0,25.0,161.0,1,283.0
4,plainTextReopenWarmProcess,e007,510.0,16.0,304.0,27.0,163.0,1,289.0
5,plainTextReopenWarmProcess,e008,488.0,14.0,292.0,24.0,158.0,1,277.0
6,plainTextReopenWarmProcess,e009,517.0,17.0,307.0,28.0,165.0,1,292.0
7,plainTextReopenWarmProcess,e00a,532.0,18.0,316.0,30.0,168.0,1,301.0
8,plainTextReopenWarmProcess,e00b,543.0,19.0,322.0,31.0,171.0,1,307.0
9,plainTextReopenWarmProcess,e00c,561.0,21.0,331.0,34.0,175.0,1,316.0
10,plainTextReopenWarmProcess,e00d,576.0,22.0,340.0,36.0,178.0,1,325.0
1,plainTextReopenColdProcess,e004,606.0,12.0,322.0,20.0,252.0,1,307.0
2,plainTextReopenColdProcess,e005,628.0,14.0,334.0,23.0,257.0,1,319.0
3,plainTextReopenColdProcess,e006,644.0,15.0,343.0,25.0,261.0,1,328.0
4,plainTextReopenColdProcess,e007,655.0,16.0,349.0,27.0,263.0,1,334.0
5,plainTextReopenColdProcess,e008,633.0,14.0,337.0,24.0,258.0,1,322.0
6,plainTextReopenColdProcess,e009,662.0,17.0,352.0,28.0,265.0,1,337.0
7,plainTextReopenColdProcess,e00a,677.0,18.0,361.0,30.0,268.0,1,346.0
8,plainTextReopenColdProcess,e00b,688.0,19.0,367.0,31.0,271.0,1,352.0
9,plainTextReopenColdProcess,e00c,706.0,21.0,376.0,34.0,275.0,1,361.0
10,plainTextReopenColdProcess,e00d,721.0,22.0,385.0,36.0,278.0,1,370.0
